Site_id,obsVol_min,obsVol,obsVol_max,G08_vol2yr_min,G08_vol2yr,G08_vol2yr_max,G08_vol100yr_min,G08_vol100yr,G08_vol100yr_max,G14_vol2yr_min,G14_vol2yr,G14_vol2yr_max,G14_vol100yr_min,G14_vol100yr,G14_vol100yr_max
Brianhead 1,73.125,97.5,131.625,117.8680612,943.4712317,7551.986145,76.98278868,616.2063389,4932.404485,110.0143753,880.6066471,7048.788533,211.7002906,1694.548395,13563.95995
Brianhead 2,468.75,625,843.75,503.7723162,4032.429845,32277.45935,324.9776506,2601.273502,20821.81288,805.8855835,6450.686101,51634.31638,1563.943249,12518.53512,100204.2252
Brianhead 3,1350,1800,2430,218.5778435,1749.599553,14004.61524,142.365574,1139.560812,9121.579092,136.56922,1093.164076,8750.197865,261.7159524,2094.897205,16768.53956
Brianhead 3.2,399,532,718.2,711.472976,5694.96332,45585.15686,477.2733727,3820.319875,30579.63168,174.9199256,1400.141107,11207.38597,330.7930047,2647.822323,21194.41148
Brianhead 4,1141.875,1522.5,2055.375,1363.304678,10912.52992,87349.00651,1027.2072,8222.248098,65814.7293,973.2651022,7790.470256,62358.57699,1666.823238,13342.0348,106795.9028
Clay Springs 1,140.25,187,252.45,680.6209876,5448.009538,43608.42299,518.3266275,4148.929377,33209.97623,548.3474409,4389.230045,35133.45545,937.9456133,7507.756505,60095.60356
Clay Springs 2,130.5,174,234.9,310.7794849,2487.624726,19912.11479,229.4377174,1836.527077,14700.4239,444.4756672,3557.791661,28478.23276,782.8707064,6266.464233,50159.71816
Dairy Fork 1,27.1875,36.25,48.9375,204.9653494,1640.638768,13132.44202,151.4005445,1211.880952,9700.463409,131.1350739,1049.666622,8402.023849,230.6413696,1846.161673,14777.54372
Dairy Fork 2,993.75,1325,1788.75,78.84295253,631.0959627,5051.588015,60.46193124,483.9656491,3873.887994,30.44355083,243.6844563,1950.564655,52.04251141,416.5726648,3334.442946
Dollar Ridge 1,5250,7000,9450,13357.70775,106921.3564,855848.6739,9922.149464,79421.53695,635727.2236,5614.71204,44942.78799,359743.1494,9598.773832,76833.08675,615008.0545
Dollar Ridge 2,65.25,87,117.45,,,,,,,,,,,,
Dollar Ridge 3,780,1040,1404,332.946826,2665.062519,21332.41009,253.3791024,2028.165148,16234.38488,157.3765065,1259.715354,10083.35239,250.9352514,2008.603419,16077.80363
Dollar Ridge 4,2700,3600,4860,1021.541756,8176.899229,65451.7357,780.554286,6247.922518,50011.30158,253.862822,2032.037067,16265.37754,435.1947662,3483.502978,27883.5913
