Site_id,cat_area,relief ,mean_cat_elev,himod_perc,himod_area,slope23_perc,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,2yr_storm,100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs
Brianhead 1,0.36,305,2631,54,0.19,15.5,unsorted,clast ,not stratified,10,4,4,volcanic,igneous,5.09,15.48,12.23,9.8,4.82,2.63,2.53,2.74,0.03,0.16,55.38074664,0,0,0,28.13,71.87,70.24,0.03,310.24,34.97,0,1.21,147.05,0.76,22.76,1.09,56.23,1.82,0.18,0,0,39.61,1,756.61,30,4.62,182.88
Brianhead 2,2.98,744,2924,45,1.34,14,unsorted,matrix,not stratified,5,5,5,volcanic,igneous,5.33,16.07,11.88,10.54,4.7,2.57,2.57,2.63,0.04,0.16,54.27291063,0,0,0,13.77,86.23,70.42,0.03,317.89,31.03,0,2.51,145.97,0.64,28.55,4.62,52.72,6.22,1.87,0,0,31.22,3.27,859.86,30.21,3.35,182.88
Brianhead 3,0.62,276,2832,81,0.5,13,sorted ,matrix,stratified ,10,4,4,volcanic,igneous,4.92,15.1,14.86,3.73,5.62,3.17,2.03,3.6,0.03,0.18,64.69117819,0,0,0,0,100,72.66,0.04,349.5,35,0,1.2,147.06,0.76,22.57,0.04,43.61,19.17,0.19,0,0,31.5,4.98,690.55,38.65,3.77,182.88
Brianhead 3.2,0.62,276,2832,81,0.5,13,,,,,,,volcanic,igneous,4.92,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brianhead 4,2.1,473,2575,8,0.17,54,unsorted,matrix,not stratified,3,4,3,Limestone,sedimentary,4.63,14.33,9.45,15.46,3.85,2.16,3.04,1.84,0.04,0.14,46.56477243,0,0,0,45.32,54.68,71.26,0.03,300.02,32.94,0,1.88,146.5,0.7,25.67,4.26,62.2,3.78,1,0,0,25,3.59,776.01,30.11,4.23,182.88
Clay Springs 1,4.01,901,2269,36,1.44,65,unsorted,clast,not stratified,5,4,3,Limestone,sedimentary,3.28,10.18,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88
Clay Springs 2,2.07,1029,2154,7,0.14,56,unsorted,clast,not stratified,3,3,2,Limestone,sedimentary,3.15,9.93,10.56,4.92,8.33,2.15,2.41,1.05,0.17,0.14,54.65961504,64.51,0,12.08,23.41,0,30,3.77,431.81,20.43,0,6.93,123.86,0.93,37.31,0.39,33.24,2.27,13.81,0.42,0,0.01,49.59,404.38,29,8.96,182.88
Dairy Fork 1,2.12,583,2141,63,1.34,5,sorted,matrix,not stratified,5,3,3,mudstone,sedimentary,3.35,10.77,6.91,17.1,2.57,1.54,3.12,0.93,0.12,0.18,41.36916538,0,0,0,100,0,76.74,0.02,338.03,22.87,0,4.7,108.43,0.56,38.65,0,15.68,61.01,0,0,0,0,23.31,572.16,248,6.99,182.88
Dairy Fork 2,1.01,309,1993,48,0.48,3,unsorted,matrix,not stratified,2,4,2,mudstone,sedimentary,3.33,10.71,6.57,18.32,2.5,1.54,3.59,0.9,0.11,0.18,39.28827163,0,0,0,100,0,77.29,0.03,296.74,22.23,0,4.73,108.81,0.67,38.79,0.03,43.59,34.9,0,0,0,0.21,21.21,565.32,248,6.84,182.88
Dollar Ridge 1,0.15,225,2054,17,0.03,26,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,2.75,9.2,6.8,18.6,2.63,1.53,3.51,1.02,0.11,0.19,39.05255312,0.02,0,0,99.98,0,79.03,0.02,262.52,20.38,0,6.06,101.72,1.31,36.53,9.2,46.11,5.33,0.06,0.11,0,1.24,37.45,519.64,57.78,5.03,181.97
Dollar Ridge 2,117.07,1239,2576,23,26.93,46,sorted,matrix,not stratified,5,4,3,sandstone,sedimentary,3.52,10.57,8.17,12.05,3.32,1.75,3.28,1.06,0.07,0.17,49.36575646,0,0,0,100,0,74.23,0.03,248.35,23.29,0,4.44,104.02,1.22,32.62,7.31,51.71,11.87,0.1,0,0,2.91,24.85,572.57,57.9,4.78,182.56
Dollar Ridge 3,0.07,279,2028,0,0,0,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.52,10,9.47,6.2,4.16,1.96,3.02,1.1,0.05,0.16,58.28841377,1.97,0,0,85.04,0,67.93,0.21,424.18,23.72,0,5.33,115.31,1.16,33.64,0.6,19.49,37.16,0.14,0.01,0.03,1.21,31.09,643.03,59.3,4.41,179.13
Dollar Ridge 4,0.52,464,2137,35,0.18,70,sorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.52,9.44,9.25,7.17,4.02,1.92,3.06,1.09,0.05,0.16,56.80742655,1.65,0,0,87.49,0,68.94,0.19,395.36,23.6,0,5.2,113.32,1.17,33.53,1.66,25.02,32.88,0.13,0.01,0.02,1.46,30.01,629.54,59.07,4.49,179.72
Dollar Ridge 5,2.77,607,2295,10,0.28,41,sorted,matrix,not stratified,5,4,4,sandstone,sedimentary,2.83,9.39,9.47,6.21,4.16,1.96,3.02,1.1,0.05,0.16,58.27125284,1.99,0,0,84.9,0,67.91,0.22,425.92,23.75,0,5.33,115.44,1.15,33.62,0.57,18.94,37.45,0.14,0.01,0.03,1.22,31.27,644.79,59.31,4.39,179.1
Lake Fork 1,9.06,916,2120,75,6.8,58,sorted,matrix,not stratified,20,4,4,sandstone,sedimentary,3.27,10.55,4.69,19.87,2.32,1.41,5.83,0.34,0.05,0.11,36.00748314,0,0,0,100,0,76.57,0.21,244.16,34.03,0,1.76,145.16,1.07,23.47,0,38.97,55.89,0,0,0,0.27,4.87,575,248,7.38,182.88
Lake Fork 2,0.26,373,1861,50,0.13,46,unsorted,matrix,not stratified,3,3,2,sandstone,sedimentary,3.2,10.41,5.93,15.9,2.78,1.63,5.05,0.51,0.06,0.12,42.17464891,1.62,0,0,95.76,2.62,72.05,0.3,249.06,30.96,0,2.26,142.02,1.42,26.17,0.06,43.27,49.68,0,0.05,0,0.52,6.1,612.78,246.52,6.4,182.88
POCR Blind Canyon 1,0.52,319,1874,27,0.14,40,unsorted,matrix,not stratified,3,3,,dacite,igneous,3.16,10.25,5,21.15,2.37,1.46,5.58,0.55,0.05,0.11,34.67663335,1.12,0,0,91.02,7.87,79.49,0.18,257.71,34.02,0,1.76,145.22,1.07,23.45,0.02,36.99,49.27,0,0,0,1.16,12.35,586.85,248,6.97,182.88
POCR Cox Canyon,3.24,579,2115,39,1.26,65,sorted,matrix,not stratified,35,3,4,sandstone,sedimentary,3.28,10.56,6.09,18.95,2.94,1.67,5.03,0.84,0.05,0.11,38.11168222,6.79,0,0,81.86,11.35,77.33,0.38,250.31,33.63,0,1.99,145.49,1.08,23.73,0,52.73,7.35,0,0.02,0,0.11,38.92,507.58,248,7.27,182.88
POCR Thistle Creek,0.28,255,1744,10,0.03,40,sorted,matrix,not stratified,10,4,5,dacite,igneous,3.12,10.18,8.68,11.78,4.72,2.08,3.22,1.34,0.09,0.14,49.19098448,16.81,0,0,60.87,22.32,69.42,4.12,307.32,28.56,0.01,3.34,137.35,1.28,26.97,0.09,27.28,38.55,0,2.35,0,0.32,30.16,556.44,246.1,6.61,182.88
Seeley 1,0.39,520,2721,36,0.14,81,unsorted,matrix,not stratified,10,4,3,sandstone,sedimentary,3.55,10.98,4.23,15.83,3.04,1.33,6.09,0.24,0.12,0.12,38.76013599,0,0,0,100,0,58.61,0.12,297.03,24.65,0,4.2,110.26,1.22,30.12,0.15,44.81,36.09,0.32,0,0,3.82,12.24,689.59,24.68,3.01,182.38
Shingle 1,0.47,290,2326,44,0.21,42,unsorted,matrix,not stratified,10,4,4,Limestone,sedimentary,3.65,12.4,5.16,23.87,2.53,1.43,3.9,0.42,0.05,0.11,32.93591321,0.2,0,0,99.8,0,70.79,0.16,252.67,27.44,0,3.54,88.75,0.97,27.54,3.55,91.99,2.93,0,0,0,0.18,1.27,507.73,38.01,6.25,182.88
Tie Fork 1,1.35,442,2224,23,0.31,53,unsorted,matrix,not stratified,5,4,3,shale,sedimentary,3.28,10.66,7.13,17.74,3.15,1.59,3.37,1.04,0.11,0.19,39.85138772,2.2,0,0,97.8,0,74.37,0.36,233.67,21.63,0,4.96,103.34,0.55,39.45,0.48,49.55,37.75,0,0,0,0.09,12.13,535.9,244.67,5.63,182.88
Tie Fork 2,0.26,339,2256,36,0.09,47,unsorted,matrix,not stratified,10,4,4,shale,sedimentary,3.33,10.75,7.19,17.55,3.22,1.59,3.35,1.04,0.12,0.19,40.09374353,5.27,0,0,94.73,0,73.73,0.4,237.14,21.53,0,5,103.28,0.53,39.78,0.21,41.85,48.92,0,0,0,0.06,8.97,556.23,246.53,5.6,182.88
Trailmountain 1,1.32,569,2678,12,0.16,76,unsorted,matrix,stratified,10,4,3,sandstone,sedimentary,3.4,10.59,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 2,0.1,469,2506,0,0,95,unsorted,matrix,stratified,15,4,3,sandstone,sedimentary,3.26,10.28,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 3,0.54,586,2560,42,0.23,83,unsorted,matrix,not stratified,10,4,4,sandstone,sedimentary,3.25,10.25,4.91,15.81,2.83,1.48,5.72,0.32,0.09,0.13,40.33012336,0,0,0,100,0,63.35,0.11,240.92,24.96,0,7.17,118.5,1.02,31.61,0.21,78.92,9.96,0.22,0,0,5.38,5.24,715.32,24,3.99,178.86
Trailmountain 4,0.28,501,2782,47,0.13,81,unsorted,matrix,not stratified,2,5,2,sandstone,sedimentary,3.5,10.81,4.79,15.46,2.91,1.46,5.81,0.3,0.1,0.13,40.37873167,0,0,0,100,0,61.58,0.11,237.33,22.74,0,7.13,119.51,1.17,31.47,0.15,45.15,39.36,0.12,0,0,6.3,8.92,751.46,24,3.56,182.16
West Valley 1,0.34,326,2371,67,0.23,49,unsorted,matrix,not stratified,3,5,3,volcanic,igneous,5,14.45,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 2,0.75,332,2600,52,0.39,34,sorted,matrix,not stratified,10,3,3,volcanic,igneous,5.1,14.66,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 3,1.04,421,2536,66,0.69,53,unsorted,matrix,not stratified,5,4,3,volcanic,igneous,5.15,14.7,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
Frenchy's Meadow,1.6,785,2411,87,1.39,36,,,,,,,volcanic,igneous,,,12.53,8.07,6.06,2.28,4.27,2.4,0.04,0.21,53.75300159,0,0,9.48,0,90.52,136,1.15,321.02,19.38,0,5.99,119.38,0.73,41.35,0.77,29.57,0.03,11.39,0,0.6,0.05,57.17,839.91,461.32,0.92,174.69
Slough R.S.,0.95,800,2614,96,0.91,72,,,,,,,gneiss,metamorphic,,,12.27,8.73,6,2.26,4.39,2.37,0.04,0.22,52.5360139,0,0,10.49,0.11,89.4,132.96,1.03,318.28,19.45,0,5.94,118.91,0.73,41.14,0.92,26.72,0.04,10.6,0,0.59,0.04,60.65,819.74,461.57,1,175.46
Twelve Kilometer,1.75,819,2473,82,1.44,35,,,,,,,volcanic,igneous,,,15.07,5.67,8.19,1.95,3.16,2.98,0.06,0.23,57.38490188,0,0,0,0,73.52,107.19,1.43,289,10.33,0,10.25,110.29,0.65,52.37,0,86.16,0.25,1.52,0,0.22,0,11.83,751.13,463,1.1,165.61
H-Wild Mountain 3-15-98,0.95,920,2111,,,82,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 9-21-98,0.95,920,2111,,,82,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 8-4-99,0.95,920,2111,,,82,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
H-Wild Mountain 8-6-02,0.95,920,2111,,,82,,,,,,,limestone,sedimentary,3.1,9.6,8.43,10.53,6.55,1.79,2.68,0.84,0.18,0.16,46.76221348,11.98,0.78,0.75,74.67,4.89,64.2,32.68,449.61,18.06,0.01,8.36,102.1,0.42,44.7,1.45,10.8,0.9,7.39,2.47,1.34,0.2,72.91,348.5,151.64,4.09,175.68
B-Winnies RR 1,0.11,692,2083,45,0.05,69,,,,,,,sandstone,sedimentary,3.1,9.6,8.44,10.53,6.58,1.79,2.69,0.85,0.18,0.16,46.68965099,12.06,0.79,0.71,74.54,4.92,63.91,32.9,450.33,18.06,0.01,8.37,102.17,0.42,44.7,1.46,10.63,0.9,7.44,2.49,1.35,0.21,72.99,348.4,151.85,4.08,175.64
B-Winnies RR 2,0.11,692,2083,45,0.05,69,,,,,,,sandstone,sedimentary,3.1,9.6,8.44,10.53,6.58,1.79,2.69,0.85,0.18,0.16,46.68965099,12.06,0.79,0.71,74.54,4.92,63.91,32.9,450.33,18.06,0.01,8.37,102.17,0.42,44.7,1.46,10.63,0.9,7.44,2.49,1.35,0.21,72.99,348.4,151.85,4.08,175.64
